lead_indices,lead_names,metric,n,mean,std,min,max,paired_mean_delta_vs12,fraction_strictly_better_vs12
1;3;6;7,II;aVR;V1;V2,f1_af,10,0.8975499741505562,0.002871869846656414,0.8938547486033519,0.9025069637883009,-0.004923191375776137,0.2
1;3;6;7,II;aVR;V1;V2,sensitivity_af,10,0.8955555555555555,0.003513641844631543,0.8888888888888888,0.9,0.0011111111111110961,0.3
1;3;6;7,II;aVR;V1;V2,sens95_af,10,0.9,0.0,0.9,0.9,-0.006666666666666643,0.0
1;3;6;7,II;aVR;V1;V2,auroc_ischemia,10,0.9027426011083598,0.0006005110082088367,0.9017883111268327,0.903619856149039,-0.004190543567975524,0.0
1;3;6;7,II;aVR;V1;V2,f1_ischemia,10,0.6857271248966865,0.008434917195979883,0.6727272727272727,0.7012195121951219,0.014142334831360525,0.9
1;3;6;7,II;aVR;V1;V2,sensitivity_ischemia,10,0.6836363636363636,0.007979158649750103,0.6727272727272727,0.696969696969697,0.025454545454545462,1.0
1;3;6;7,II;aVR;V1;V2,sens95_ischemia,10,0.62,0.010320840221773587,0.6060606060606061,0.6424242424242425,0.023030303030303012,1.0
1;3;6;7,II;aVR;V1;V2,auroc_conduction,10,0.9574686290578531,0.000562992209537119,0.9561398937959196,0.9581957622582342,0.0003424868429155681,0.6
1;3;6;7,II;aVR;V1;V2,f1_conduction,10,0.8675565169143331,0.003418501232064718,0.8626373626373627,0.8743169398907104,-0.0022339910115160566,0.2
1;3;6;7,II;aVR;V1;V2,sensitivity_conduction,10,0.8348284960422163,0.0051584444322304935,0.8284960422163589,0.8443271767810027,-0.007651715039577822,0.0
1;3;6;7,II;aVR;V1;V2,sens95_conduction,10,0.8271767810026386,0.003782904690871865,0.820580474934037,0.8337730870712401,0.00395778364116095,0.6
1;3;6;7,II;aVR;V1;V2,auroc_ectopy,10,0.865272462443594,0.0017059148105947046,0.8622693779631005,0.8676529388244701,0.0029616724738675713,1.0
1;3;6;7,II;aVR;V1;V2,f1_ectopy,10,0.4132513477691361,0.014316802306132656,0.3972602739726027,0.44,0.029796950538195276,1.0
1;3;6;7,II;aVR;V1;V2,sensitivity_ectopy,10,0.3719512195121951,0.015479213629804705,0.35365853658536583,0.4024390243902439,0.0073170731707317025,0.7
1;3;6;7,II;aVR;V1;V2,sens95_ectopy,10,0.37682926829268293,0.008998351065519786,0.36585365853658536,0.3902439024390244,0.05853658536585367,1.0
