stage,seed,lead_names,lead_indices,prediction_sha256,n,correct,incorrect,accuracy
seed42,42,I;V3;V4,0;8;9,205be9ce5d65cbed1d7b2f53eb9eb52108da2096113f48b25a3b98feecb53fcd,936,703,233,0.7510683760683761
seed42,42,I;V3;V5,0;8;10,70fd565ee38078af52c8edee39dc95245d570af72e8a95b4e672d4176d0756c6,936,702,234,0.75
seed42,42,I;V3;V6,0;8;11,91ebc8053b60ffcdff57264e2a0ec9c887659eb3c0c240918a5421c2ec05fa31,936,704,232,0.7521367521367521
seed42,42,I;V4;V5,0;9;10,0bc8b82f74752912af8b1b45d51fb250ef0c718ae8a7c329a3715f7092b7b0a8,936,700,236,0.7478632478632479
seed42,42,I;V4;V6,0;9;11,9993b6046f7e34baea5a1a1e9b77a4d6224db3a23c6fe4f2fc0a5adae45dac75,936,698,238,0.7457264957264957
seed42,42,I;V5;V6,0;10;11,ee61fcf12a9485e931026c2f166c5ca3c4d6eae72452f653a0672f0f7f917960,936,698,238,0.7457264957264957
seed42,42,II;III;aVR,1;2;3,7fa458fbcc1ed22907a9b2b6c929269ad89c0f399dadabf08454c67efabc73fa,936,716,220,0.7649572649572649
seed42,42,II;III;aVL,1;2;4,6c5806b6399caebd4efcac11146de4f41df81a68bd3e99f77da07e7f1ea6281b,936,712,224,0.7606837606837606
seed42,42,II;III;aVF,1;2;5,ec8230fa52053ac0aa819a2a92e489ddd49b38e6e606c45d9849497adf6daf11,936,710,226,0.7585470085470085
seed42,42,II;III;V1,1;2;6,62a62f0f19d418e38dfeb2cfa3eb0658da698efa100ad97747f57fbd3fcab6ee,936,714,222,0.7628205128205128
seed42,42,II;III;V2,1;2;7,91a8a84b0ebc0463ad2cb78e397615581572568ef9d3e24e736bf008ce7ee710,936,717,219,0.7660256410256411
seed42,42,II;III;V3,1;2;8,9a90511642c527e8c58e755a4c9e9eee195bbb4925055cfdc7a78e9332630974,936,709,227,0.7574786324786325
seed42,42,II;III;V4,1;2;9,ffda1b03d1c10ccccde0a980243fb98c115b158d71b1dc3e248e2b3ea4c7c11b,936,700,236,0.7478632478632479
seed42,42,II;III;V5,1;2;10,627e41cdefd92c9c41cdb6e50fb2c4d127d62b2043ce5bfbb40b51452264c7ed,936,704,232,0.7521367521367521
seed42,42,II;III;V6,1;2;11,dd0485b0994def4fed52fedde9b737e8d94c5313cdc1737da12a52de7f5d8cf2,936,704,232,0.7521367521367521
seed42,42,II;aVR;aVL,1;3;4,dfcde488be8638274dca517af71268053fa7805307a981ad2f97ab7e5497a3b8,936,713,223,0.7617521367521367
seed42,42,II;aVR;aVF,1;3;5,e43a0d3ed05e1a49bae3e40b914f6a664b053ed18f1d5ad8ba77a167d16a0c6f,936,710,226,0.7585470085470085
seed42,42,II;aVR;V1,1;3;6,706c98a1d8df66452e9dbc7415862fde11786d0e4f841b63b88f4581ef9a21e0,936,717,219,0.7660256410256411
seed42,42,II;aVR;V2,1;3;7,c98323a77b204e162be73b6a673b7f3b74702f855684eaff08419c148180ba36,936,719,217,0.7681623931623932
seed42,42,II;aVR;V3,1;3;8,2368327695150e26663ca1ea157709b0355c9858a659c7d25b3534ad4bbba4e9,936,713,223,0.7617521367521367
seed42,42,II;aVR;V4,1;3;9,58dae79d43c168c8aa2215b947be6dcff923f49eddb7781c438662edbe928991,936,708,228,0.7564102564102564
seed42,42,II;aVR;V5,1;3;10,37962986a28b6084580722b5c6070b0158085c70db7c1d47d79709fd234bf4e3,936,698,238,0.7457264957264957
seed42,42,II;aVR;V6,1;3;11,050829375842fe0bcc4cb25e99fc958ebe5412a8562cfbdedf5dce3c6e810bd5,936,700,236,0.7478632478632479
seed42,42,II;aVL;aVF,1;4;5,14aa0d5db343c0dd85aa0237e12c26e5c0da0b540ccbdeb34a822d6495f3343c,936,711,225,0.7596153846153846
