model,leads,seed,binary_auroc,sens_at_95sp,f1_at_05,macro_f1,macro_sensitivity,measurable,auroc_nsr,f1_nsr,sensitivity_nsr,sens95_nsr,auroc_af,f1_af,sensitivity_af,sens95_af,auroc_ischemia,f1_ischemia,sensitivity_ischemia,sens95_ischemia,auroc_conduction,f1_conduction,sensitivity_conduction,sens95_conduction,auroc_ectopy,f1_ectopy,sensitivity_ectopy,sens95_ectopy
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10005,0.9469950600519749,0.7847025495750708,0.9228529839883551,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10006,0.946035164938075,0.7677053824362606,0.9172714078374455,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10007,0.9463863460773067,0.7705382436260623,0.9186046511627907,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10008,0.947908131013977,0.7677053824362606,0.9183673469387755,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10009,0.9451689181279704,0.7535410764872521,0.9159420289855073,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10010,0.9450752698241753,0.7592067988668555,0.9127906976744186,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10011,0.9469248238241285,0.7818696883852692,0.9170305676855895,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10012,0.9467609392924871,0.773371104815864,0.9156976744186046,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10013,0.9442558471659681,0.7308781869688386,0.9143686502177069,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10014,0.9471121204317187,0.7592067988668555,0.9138686131386862,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10015,0.9435066607356075,0.7648725212464589,0.9159420289855073,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10016,0.946152225317819,0.7705382436260623,0.9093567251461988,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10017,0.9468077634443846,0.7280453257790368,0.9201741654571843,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10018,0.9469950600519749,0.7790368271954674,0.9183673469387755,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10019,0.9449582094444315,0.71671388101983,0.9161849710982659,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10020,0.9464799943811019,0.7818696883852692,0.914616497829233,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10021,0.9469248238241285,0.7507082152974505,0.9215116279069767,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10022,0.9471589445836163,0.7818696883852692,0.9154518950437318,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10023,0.9465268185329994,0.7648725212464589,0.9156976744186046,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10024,0.9462926977735115,0.7563739376770539,0.9186046511627907,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10025,0.9464331702292043,0.773371104815864,0.9167883211678832,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10026,0.9473696532671552,0.773371104815864,0.9159420289855073,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10027,0.9462926977735117,0.7762039660056658,0.9186046511627907,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10028,0.9452391543558167,0.7677053824362606,0.9186046511627907,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10029,0.9476505981785405,0.773371104815864,0.9219653179190751,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10030,0.9462926977735115,0.7875354107648725,0.9170305676855895,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10031,0.9464799943811019,0.7762039660056658,0.9172714078374455,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10032,0.9449582094444314,0.7535410764872521,0.9161849710982659,,,binary,,,,,,,,,,,,,,,,,,,,
reference_iii,0;1;2;3;4;5;6;7;8;9;10;11,10033,0.9474633015709503,0.7762039660056658,0.9201741654571843,,,binary,,,,,,,,,,,,,,,,,,,,
