model,n_leads,metric,count,best,median,worst,mean,variance,top_leads
P1_a07,4,f1_conduction,495,0.8858321870701513,0.8626373626373627,0.844566712517194,0.8635548568134743,6.119009441336234e-05,aVF;V1;V2;V4
P1_a07,4,sensitivity_conduction,495,0.8548812664907651,0.8311345646437994,0.8073878627968337,0.8305269049332374,7.61683635464292e-05,II;V1;V3;V5
P1_a07,4,sens95_conduction,495,0.8548812664907651,0.8100263852242744,0.7704485488126649,0.8101116707976866,0.00030079876927014565,III;aVL;V1;V2
P1_a07,4,auroc_ectopy,495,0.8766207802593249,0.8627120580339293,0.8431627349060375,0.862270805963329,2.9914372641581768e-05,aVF;V1;V2;V3
P1_a07,4,f1_ectopy,495,0.42038216560509556,0.3670886075949367,0.2727272727272727,0.36470776423683815,0.0006446947081429876,I;V1;V3;V6
P1_a07,4,sensitivity_ectopy,495,0.4268292682926829,0.34146341463414637,0.24390243902439024,0.3405518600640552,0.0008605490789616399,I;aVR;aVF;V5
P1_a07,4,sens95_ectopy,495,0.4268292682926829,0.32926829268292684,0.24390243902439024,0.33523035230352305,0.0008393539466313609,I;II;III;aVF
reference_iii,1,binary_auroc,12,0.9564067145833821,0.918795214571676,0.8506309554468197,0.9107453624579559,0.001230071312025454,aVR
reference_iii,1,sens_at_95sp,12,0.7903682719546742,0.6940509915014165,0.5750708215297451,0.6938149197355997,0.0046658726273561485,V6
reference_iii,2,binary_auroc,66,0.9536675016973756,0.9431320675204271,0.8871303818509587,0.9384560374422946,0.00022161565523975838,aVR;V1
reference_iii,2,sens_at_95sp,66,0.8130311614730878,0.7507082152974505,0.6203966005665722,0.7410936561078204,0.0014600528119542873,V1;V6
reference_iii,3,binary_auroc,220,0.9532226722543488,0.9458712804064336,0.9162784164071828,0.9449004241842488,2.7930095348676473e-05,I;II;V1
reference_iii,3,sens_at_95sp,220,0.8130311614730878,0.7620396600566572,0.6968838526912181,0.7606876126706156,0.0004968591340489912,II;V1;V6
reference_iii,4,binary_auroc,495,0.9528949031910658,0.9467609392924871,0.932034743520708,0.9465993723198789,9.046505946446923e-06,I;aVR;aVL;V1
reference_iii,4,sens_at_95sp,495,0.8271954674220963,0.7648725212464589,0.6940509915014165,0.7654219246287235,0.0003850652001996681,aVR;V4;V5;V6
